Name	Category	Subcategory	City	State	Status	Owner	Phone	Email	Website	Address	Latitude	Longitude	Capacity	Description
Premier Rail Solutions	Rail Pads	10mm	Lucknow	Uttar Pradesh	Approved	Suresh Patel	-7345087706	info@premierrailsolutions.in	https://www.premierrailsolutions.in	341, Industrial Area, Lucknow	26.93159438	80.9008553	432429	Specialized in producing high-quality 10mm for Indian Railways and metro projects.
Global Rail Parts	Rail Pads	5mm	Kanpur	Uttar Pradesh	Developmental	Neha Gupta	-4956418078	info@globalrailparts.in	https://www.globalrailparts.in	69, Industrial Area, Kanpur	26.40683421	80.33447662	466613	ISO certified company with over 15 years of experience in railway component manufacturing.
United Railway Suppliers	Rail Pads	10mm	Indore	Madhya Pradesh	Approved	Rahul Bose	-7566672167	info@unitedrailwaysuppliers.in	https://www.unitedrailwaysuppliers.in	446, Industrial Area, Indore	22.77180551	75.90950856	272094	ISO certified company with over 15 years of experience in railway component manufacturing.
Continental Rail Industries	GRSP	10mm Thick	Bhopal	Madhya Pradesh	Approved	Manoj Joshi	-3592626083	info@continentalrailindustries.in	https://www.continentalrailindustries.in	473, Industrial Area, Bhopal	23.27069716	77.46445357	12806	Trusted supplier of GRSP to major railway projects across India.
Apex Track Manufacturing	GRSP	10mm Thick	Chandigarh	Punjab	Approved	Manoj Joshi	-9865814719	info@apextrackmanufacturing.in	https://www.apextrackmanufacturing.in	8, Industrial Area, Chandigarh	30.73816661	76.75733302	29414	Leading manufacturer and supplier of GRSP with state-of-the-art production facilities.
Pioneer Railway Products	GRSP	6mm Thick	Ludhiana	Punjab	Approved	Sneha Kapoor	-5943219615	info@pioneerrailwayproducts.in	https://www.pioneerrailwayproducts.in	425, Industrial Area, Ludhiana	30.8781652	75.83692968	473336	Quality-focused organization committed to delivering premium GRSP solutions.
Imperial Rail Systems	GRSP	6mm Thick	Gurgaon	Haryana	Approved	Anita Singh	-4632310460	info@imperialrailsystems.in	https://www.imperialrailsystems.in	266, Industrial Area, Gurgaon	28.39088272	76.93203437	108548	ISO certified company with over 15 years of experience in railway component manufacturing.
Royal Railway Components	GRSP	10mm Thick	Faridabad	Haryana	Developmental	Vikram Reddy	-6845974120	info@royalrailwaycomponents.in	https://www.royalrailwaycomponents.in	421, Industrial Area, Faridabad	28.36456508	77.34578296	255705	Quality-focused organization committed to delivering premium GRSP solutions.
Stellar Track Solutions	GRSP	10mm Thick	Visakhapatnam	Andhra Pradesh	Approved	Rajesh Kumar	-9342650150	info@stellartracksolutions.in	https://www.stellartracksolutions.in	42, Industrial Area, Visakhapatnam	17.59082477	83.22912785	398420	ISO certified company with over 15 years of experience in railway component manufacturing.
Vertex Rail Industries	GRSP	6mm Thick	Vijayawada	Andhra Pradesh	Developmental	Rajesh Kumar	-3970189556	info@vertexrailindustries.in	https://www.vertexrailindustries.in	90, Industrial Area, Vijayawada	16.60409745	80.60691215	131216	ISO certified company with over 15 years of experience in railway component manufacturing.
Omega Railway Supplies	CGRSP	10mm	Kochi	Kerala	Developmental	Sanjay Mehta	-2136034902	info@omegarailwaysupplies.in	https://www.omegarailwaysupplies.in	245, Industrial Area, Kochi	10.00553718	76.24553161	458625	Specialized in producing high-quality 10mm for Indian Railways and metro projects.
Alpha Track Manufacturing	CGRSP	10mm	Thiruvananthapuram	Kerala	Approved	Divya Menon	-2280776870	info@alphatrackmanufacturing.in	https://www.alphatrackmanufacturing.in	310, Industrial Area, Thiruvananthapuram	8.458022963	76.85894588	134626	ISO certified company with over 15 years of experience in railway component manufacturing.
Beta Rail Components	CGRSP	10mm	Bhubaneswar	Odisha	Approved	Arun Pillai	-2072591921	info@betarailcomponents.in	https://www.betarailcomponents.in	440, Industrial Area, Bhubaneswar	20.2746063	85.90207052	384061	Trusted supplier of CGRSP to major railway projects across India.
Gamma Railway Industries	CGRSP	10mm	Patna	Bihar	Approved	Arun Pillai	-1428663597	info@gammarailwayindustries.in	https://www.gammarailwayindustries.in	182, Industrial Area, Patna	25.49793799	85.09289581	27685	Advanced manufacturing unit equipped with modern machinery for 10mm production.
Delta Track Systems	CGRSP	10mm	Ranchi	Jharkhand	Developmental	Ashok Malhotra	-5750157901	info@deltatracksystems.in	https://www.deltatracksystems.in	179, Industrial Area, Ranchi	23.42231229	85.4088061	87468	Leading manufacturer and supplier of CGRSP with state-of-the-art production facilities.
Epsilon Rail Products	CGRSP	6.2mm	Mumbai	Maharashtra	Approved	Rahul Bose	-4117053123	info@epsilonrailproducts.in	https://www.epsilonrailproducts.in	268, Industrial Area, Mumbai	19.0148709	72.88847867	481519	Specialized in producing high-quality 6.2mm for Indian Railways and metro projects.
Rail Components Ltd	CGRSP	10mm	Pune	Maharashtra	Approved	Manoj Joshi	-8006317514	info@railcomponentsltd.in	https://www.railcomponentsltd.in	136, Industrial Area, Pune	18.46236343	73.89577234	99258	Leading manufacturer and supplier of CGRSP with state-of-the-art production facilities.
Indian Railway Supplies	CGRSP	10mm	Nagpur	Maharashtra	Approved	Vikram Reddy	-7259825289	info@indianrailwaysupplies.in	https://www.indianrailwaysupplies.in	421, Industrial Area, Nagpur	21.08462153	79.06793704	325727	Advanced manufacturing unit equipped with modern machinery for 10mm production.
Metro Rail Manufacturing	NCR GRSP	6mm Sets	Delhi	Delhi	Developmental	Arun Pillai	-4761114142	info@metrorailmanufacturing.in	https://www.metrorailmanufacturing.in	457, Industrial Area, Delhi	28.53052802	77.27483217	469792	Quality-focused organization committed to delivering premium NCR GRSP solutions.
Precision Rail Parts	NCR GRSP	Complete Kits	Bengaluru	Karnataka	Approved	Anita Singh	-8725546344	info@precisionrailparts.in	https://www.precisionrailparts.in	263, Industrial Area, Bengaluru	12.88435562	77.53170281	149499	Specialized in producing high-quality Complete Kits for Indian Railways and metro projects.
National Rail Industries	NCR GRSP	6mm Sets	Mysuru	Karnataka	Developmental	Sneha Kapoor	-3866027689	info@nationalrailindustries.in	https://www.nationalrailindustries.in	165, Industrial Area, Mysuru	12.28880348	76.55425337	463945	Trusted supplier of NCR GRSP to major railway projects across India.
Supreme Railway Products	NCR GRSP	6mm Sets	Chennai	Tamil Nadu	Approved	Kavita Iyer	-2821885917	info@supremerailwayproducts.in	https://www.supremerailwayproducts.in	155, Industrial Area, Chennai	13.13028516	80.28813447	407486	ISO certified company with over 15 years of experience in railway component manufacturing.
Modern Rail Systems	NCR GRSP	6mm Sets	Coimbatore	Tamil Nadu	Approved	Amit Shah	-5802453149	info@modernrailsystems.in	https://www.modernrailsystems.in	47, Industrial Area, Coimbatore	11.01337224	76.94525502	273334	Trusted supplier of NCR GRSP to major railway projects across India.
Advanced Track Components	NCR GRSP	6mm Sets	Kolkata	West Bengal	Developmental	Sanjay Mehta	-1754706250	info@advancedtrackcomponents.in	https://www.advancedtrackcomponents.in	124, Industrial Area, Kolkata	22.50613554	88.28834547	166040	Specialized in producing high-quality 6mm Sets for Indian Railways and metro projects.
Eastern Railway Suppliers	Nylon Cord Elastomeric Pad	25mm	Howrah	West Bengal	Approved	Anita Singh	-6158539489	info@easternrailwaysuppliers.in	https://www.easternrailwaysuppliers.in	65, Industrial Area, Howrah	22.61452036	88.18583793	452943	Advanced manufacturing unit equipped with modern machinery for 25mm production.
Western Rail Manufacturing	Nylon Cord Elastomeric Pad	5mm	Ahmedabad	Gujarat	Approved	Sanjay Mehta	-5791178734	info@westernrailmanufacturing.in	https://www.westernrailmanufacturing.in	416, Industrial Area, Ahmedabad	23.11764494	72.47889928	284690	ISO certified company with over 15 years of experience in railway component manufacturing.
Central Railway Industries	Nylon Cord Elastomeric Pad	5mm	Vadodara	Gujarat	Approved	Ravi Verma	-3562481179	info@centralrailwayindustries.in	https://www.centralrailwayindustries.in	147, Industrial Area, Vadodara	22.30980073	73.1338029	180669	Quality-focused organization committed to delivering premium Nylon Cord Elastomeric Pad solutions.
Northern Rail Products	Nylon Cord Elastomeric Pad	5mm	Hyderabad	Telangana	Developmental	Sanjay Mehta	-1287848438	info@northernrailproducts.in	https://www.northernrailproducts.in	231, Industrial Area, Hyderabad	17.40133642	78.56483866	342595	Leading manufacturer and supplier of Nylon Cord Elastomeric Pad with state-of-the-art production facilities.
Southern Track Systems	Nylon Cord Elastomeric Pad	25mm	Jaipur	Rajasthan	Approved	Ashok Malhotra	-1832718494	info@southerntracksystems.in	https://www.southerntracksystems.in	21, Industrial Area, Jaipur	27.00003112	75.87943072	274324	Leading manufacturer and supplier of Nylon Cord Elastomeric Pad with state-of-the-art production facilities.
Elite Railway Components	Nylon Cord Elastomeric Pad	25mm	Lucknow	Uttar Pradesh	Approved	Ravi Verma	-6730534526	info@eliterailwaycomponents.in	https://www.eliterailwaycomponents.in	240, Industrial Area, Lucknow	26.75894944	80.98542681	245781	Trusted supplier of Nylon Cord Elastomeric Pad to major railway projects across India.
Premier Rail Solutions	Nylon Cord Elastomeric Pad	25mm	Kanpur	Uttar Pradesh	Approved	Divya Menon	-7335073044	info@premierrailsolutions.in	https://www.premierrailsolutions.in	33, Industrial Area, Kanpur	26.36942795	80.32595325	23208	Trusted supplier of Nylon Cord Elastomeric Pad to major railway projects across India.
Global Rail Parts	Glued Insulated Rail Joints	GIRJ Standard	Indore	Madhya Pradesh	Approved	Divya Menon	-2958382837	info@globalrailparts.in	https://www.globalrailparts.in	491, Industrial Area, Indore	22.70516611	75.93796486	314776	Quality-focused organization committed to delivering premium Glued Insulated Rail Joints solutions.
United Railway Suppliers	Glued Insulated Rail Joints	Heavy Traffic	Bhopal	Madhya Pradesh	Approved	Sunita Rao	-5238041843	info@unitedrailwaysuppliers.in	https://www.unitedrailwaysuppliers.in	15, Industrial Area, Bhopal	23.20369932	77.40457914	507720	ISO certified company with over 15 years of experience in railway component manufacturing.
Continental Rail Industries	Glued Insulated Rail Joints	GIRJ Standard	Chandigarh	Punjab	Approved	Deepak Agarwal	-3432214201	info@continentalrailindustries.in	https://www.continentalrailindustries.in	134, Industrial Area, Chandigarh	30.7896461	76.75088633	182508	Trusted supplier of Glued Insulated Rail Joints to major railway projects across India.
Apex Track Manufacturing	Glued Insulated Rail Joints	GIRJ Standard	Ludhiana	Punjab	Developmental	Vikram Reddy	-2593353662	info@apextrackmanufacturing.in	https://www.apextrackmanufacturing.in	116, Industrial Area, Ludhiana	30.83356482	75.7971781	359437	ISO certified company with over 15 years of experience in railway component manufacturing.
Pioneer Railway Products	Glued Insulated Rail Joints	Heavy Traffic	Gurgaon	Haryana	Approved	Pooja Nair	-6316135306	info@pioneerrailwayproducts.in	https://www.pioneerrailwayproducts.in	33, Industrial Area, Gurgaon	28.52765814	76.97230809	398872	Quality-focused organization committed to delivering premium Glued Insulated Rail Joints solutions.
Imperial Rail Systems	Glued Insulated Rail Joints	GIRJ Standard	Faridabad	Haryana	Approved	Amit Shah	-3100144570	info@imperialrailsystems.in	https://www.imperialrailsystems.in	205, Industrial Area, Faridabad	28.50710332	77.22051591	236939	Quality-focused organization committed to delivering premium Glued Insulated Rail Joints solutions.
Royal Railway Components	Fish Plates	Heavy Duty	Visakhapatnam	Andhra Pradesh	Approved	Suresh Patel	-1966149330	info@royalrailwaycomponents.in	https://www.royalrailwaycomponents.in	401, Industrial Area, Visakhapatnam	17.76267537	83.17110982	234066	Trusted supplier of Fish Plates to major railway projects across India.
Stellar Track Solutions	Fish Plates	Standard	Vijayawada	Andhra Pradesh	Developmental	Kavita Iyer	-2655936084	info@stellartracksolutions.in	https://www.stellartracksolutions.in	224, Industrial Area, Vijayawada	16.54906357	80.72303683	393513	Leading manufacturer and supplier of Fish Plates with state-of-the-art production facilities.
Vertex Rail Industries	Fish Plates	Special Grade	Kochi	Kerala	Approved	Rahul Bose	-2688263501	info@vertexrailindustries.in	https://www.vertexrailindustries.in	335, Industrial Area, Kochi	9.966714313	76.34692052	444126	Quality-focused organization committed to delivering premium Fish Plates solutions.
Omega Railway Supplies	Fish Plates	Heavy Duty	Thiruvananthapuram	Kerala	Approved	Divya Menon	-8397744154	info@omegarailwaysupplies.in	https://www.omegarailwaysupplies.in	391, Industrial Area, Thiruvananthapuram	8.534995564	77.02294258	153488	Quality-focused organization committed to delivering premium Fish Plates solutions.
Alpha Track Manufacturing	Fish Plates	Standard	Bhubaneswar	Odisha	Developmental	Vikram Reddy	-3228030914	info@alphatrackmanufacturing.in	https://www.alphatrackmanufacturing.in	279, Industrial Area, Bhubaneswar	20.25290306	85.77116763	225765	Advanced manufacturing unit equipped with modern machinery for Standard production.
Beta Rail Components	Fish Plates	Heavy Duty	Patna	Bihar	Developmental	Deepak Agarwal	-9368613714	info@betarailcomponents.in	https://www.betarailcomponents.in	282, Industrial Area, Patna	25.68421941	85.20897358	90606	Leading manufacturer and supplier of Fish Plates with state-of-the-art production facilities.
Gamma Railway Industries	Fish Plates	Heavy Duty	Ranchi	Jharkhand	Approved	Sunita Rao	-2856662341	info@gammarailwayindustries.in	https://www.gammarailwayindustries.in	282, Industrial Area, Ranchi	23.40979346	85.35056079	273214	Advanced manufacturing unit equipped with modern machinery for Heavy Duty production.
Delta Track Systems	Fish Plate Bars	Finished	Mumbai	Maharashtra	Approved	Divya Menon	-6926175122	info@deltatracksystems.in	https://www.deltatracksystems.in	450, Industrial Area, Mumbai	19.10956854	72.88367287	245391	Advanced manufacturing unit equipped with modern machinery for Finished production.
Epsilon Rail Products	Fish Plate Bars	Raw Material	Pune	Maharashtra	Approved	Amit Shah	-6625068866	info@epsilonrailproducts.in	https://www.epsilonrailproducts.in	458, Industrial Area, Pune	18.51992198	73.853889	469415	Advanced manufacturing unit equipped with modern machinery for Raw Material production.
Rail Components Ltd	Fish Plate Bars	Finished	Nagpur	Maharashtra	Approved	Deepak Agarwal	-7791364741	info@railcomponentsltd.in	https://www.railcomponentsltd.in	94, Industrial Area, Nagpur	21.0754478	79.00410386	44083	Leading manufacturer and supplier of Fish Plate Bars with state-of-the-art production facilities.
Indian Railway Supplies	Fish Plate Bars	Finished	Delhi	Delhi	Approved	Priya Sharma	-2825622311	info@indianrailwaysupplies.in	https://www.indianrailwaysupplies.in	343, Industrial Area, Delhi	28.56366098	77.21129772	417487	Trusted supplier of Fish Plate Bars to major railway projects across India.
Metro Rail Manufacturing	Fish Plate Bars	Finished	Bengaluru	Karnataka	Developmental	Arun Pillai	-8538069587	info@metrorailmanufacturing.in	https://www.metrorailmanufacturing.in	82, Industrial Area, Bengaluru	13.02014514	77.50191788	382434	Leading manufacturer and supplier of Fish Plate Bars with state-of-the-art production facilities.
Precision Rail Parts	Fish Plate Bars	Finished	Mysuru	Karnataka	Developmental	Pooja Nair	-1447796326	info@precisionrailparts.in	https://www.precisionrailparts.in	62, Industrial Area, Mysuru	12.20423011	76.64333607	142100	Quality-focused organization committed to delivering premium Fish Plate Bars solutions.
National Rail Industries	Fish Plate Bars	Finished	Chennai	Tamil Nadu	Approved	Meera Desai	-1507413184	info@nationalrailindustries.in	https://www.nationalrailindustries.in	61, Industrial Area, Chennai	13.12909941	80.33991469	501097	Advanced manufacturing unit equipped with modern machinery for Finished production.
Supreme Railway Products	Fish Plate Bars	Finished	Coimbatore	Tamil Nadu	Approved	Deepak Agarwal	-4951675348	info@supremerailwayproducts.in	https://www.supremerailwayproducts.in	472, Industrial Area, Coimbatore	11.03052989	76.9559275	375296	ISO certified company with over 15 years of experience in railway component manufacturing.
Modern Rail Systems	High Tensile Fish Bolts & Nuts	M30	Kolkata	West Bengal	Approved	Vikram Reddy	-8770405924	info@modernrailsystems.in	https://www.modernrailsystems.in	429, Industrial Area, Kolkata	22.66644861	88.31836175	122962	Trusted supplier of High Tensile Fish Bolts & Nuts to major railway projects across India.
Advanced Track Components	High Tensile Fish Bolts & Nuts	M30	Howrah	West Bengal	Approved	Suresh Patel	-1973724195	info@advancedtrackcomponents.in	https://www.advancedtrackcomponents.in	67, Industrial Area, Howrah	22.55584264	88.19168622	473587	Specialized in producing high-quality M30 for Indian Railways and metro projects.
Eastern Railway Suppliers	High Tensile Fish Bolts & Nuts	M24	Ahmedabad	Gujarat	Approved	Sneha Kapoor	-4232863671	info@easternrailwaysuppliers.in	https://www.easternrailwaysuppliers.in	288, Industrial Area, Ahmedabad	22.95026078	72.52025647	480632	Specialized in producing high-quality M24 for Indian Railways and metro projects.
Western Rail Manufacturing	High Tensile Fish Bolts & Nuts	M24	Vadodara	Gujarat	Approved	Kavita Iyer	-2758191062	info@westernrailmanufacturing.in	https://www.westernrailmanufacturing.in	385, Industrial Area, Vadodara	22.25815436	73.20191406	330032	Quality-focused organization committed to delivering premium High Tensile Fish Bolts & Nuts solutions.
Central Railway Industries	High Tensile Fish Bolts & Nuts	M24	Hyderabad	Telangana	Approved	Deepak Agarwal	-5203308657	info@centralrailwayindustries.in	https://www.centralrailwayindustries.in	476, Industrial Area, Hyderabad	17.45362841	78.44579914	182975	Trusted supplier of High Tensile Fish Bolts & Nuts to major railway projects across India.
Northern Rail Products	High Tensile Fish Bolts & Nuts	M24	Jaipur	Rajasthan	Approved	Neha Gupta	-2668860752	info@northernrailproducts.in	https://www.northernrailproducts.in	403, Industrial Area, Jaipur	26.82675653	75.88646143	176580	Trusted supplier of High Tensile Fish Bolts & Nuts to major railway projects across India.
Southern Track Systems	High Tensile Fish Bolts & Nuts	Complete Sets	Lucknow	Uttar Pradesh	Approved	Priya Sharma	-8579479640	info@southerntracksystems.in	https://www.southerntracksystems.in	73, Industrial Area, Lucknow	26.82174951	80.84966333	442982	Trusted supplier of High Tensile Fish Bolts & Nuts to major railway projects across India.
Elite Railway Components	High Tensile Fish Bolts & Nuts	Complete Sets	Kanpur	Uttar Pradesh	Approved	Deepak Agarwal	-2851841823	info@eliterailwaycomponents.in	https://www.eliterailwaycomponents.in	476, Industrial Area, Kanpur	26.50560776	80.32654478	74093	Specialized in producing high-quality Complete Sets for Indian Railways and metro projects.
Premier Rail Solutions	High Tensile Fish Bolts & Nuts	M24	Indore	Madhya Pradesh	Approved	Anita Singh	-9261687892	info@premierrailsolutions.in	https://www.premierrailsolutions.in	241, Industrial Area, Indore	22.66902428	75.82529128	358500	Advanced manufacturing unit equipped with modern machinery for M24 production.
Global Rail Parts	High Tensile Fish Bolts & Nuts	M24	Bhopal	Madhya Pradesh	Approved	Anita Singh	-4488291255	info@globalrailparts.in	https://www.globalrailparts.in	338, Industrial Area, Bhopal	23.23412692	77.33683608	343158	Advanced manufacturing unit equipped with modern machinery for M24 production.
United Railway Suppliers	High Tensile Fish Bolts & Nuts	M30	Chandigarh	Punjab	Approved	Ravi Verma	-2093605618	info@unitedrailwaysuppliers.in	https://www.unitedrailwaysuppliers.in	297, Industrial Area, Chandigarh	30.80416602	76.69864832	492960	Specialized in producing high-quality M30 for Indian Railways and metro projects.
Continental Rail Industries	CMS Crossings	WCMS	Ludhiana	Punjab	Approved	Meera Desai	-8791779154	info@continentalrailindustries.in	https://www.continentalrailindustries.in	59, Industrial Area, Ludhiana	30.86312907	75.79697624	298330	Quality-focused organization committed to delivering premium CMS Crossings solutions.
Apex Track Manufacturing	CMS Crossings	WCMS	Gurgaon	Haryana	Approved	Sunita Rao	-9056800624	info@apextrackmanufacturing.in	https://www.apextrackmanufacturing.in	423, Industrial Area, Gurgaon	28.47768314	76.93069817	110290	Leading manufacturer and supplier of CMS Crossings with state-of-the-art production facilities.
Pioneer Railway Products	CMS Crossings	Standard CMS	Faridabad	Haryana	Approved	Ashok Malhotra	-9578635267	info@pioneerrailwayproducts.in	https://www.pioneerrailwayproducts.in	403, Industrial Area, Faridabad	28.31319525	77.25981447	173540	Quality-focused organization committed to delivering premium CMS Crossings solutions.
Imperial Rail Systems	CMS Crossings	WCMS	Visakhapatnam	Andhra Pradesh	Approved	Ashok Malhotra	-8817521389	info@imperialrailsystems.in	https://www.imperialrailsystems.in	410, Industrial Area, Visakhapatnam	17.63704175	83.26987584	246204	Trusted supplier of CMS Crossings to major railway projects across India.
Royal Railway Components	CMS Crossings	WCMS	Vijayawada	Andhra Pradesh	Approved	Anita Singh	-4953777744	info@royalrailwaycomponents.in	https://www.royalrailwaycomponents.in	279, Industrial Area, Vijayawada	16.55967115	80.59632267	236514	Specialized in producing high-quality WCMS for Indian Railways and metro projects.
Stellar Track Solutions	Switch Expansion Joints	Heavy Duty	Kochi	Kerala	Approved	Sunita Rao	-2960596136	info@stellartracksolutions.in	https://www.stellartracksolutions.in	425, Industrial Area, Kochi	9.907584597	76.2494276	226926	Specialized in producing high-quality Heavy Duty for Indian Railways and metro projects.
Vertex Rail Industries	Switch Expansion Joints	Heavy Duty	Thiruvananthapuram	Kerala	Approved	Kavita Iyer	-2295930325	info@vertexrailindustries.in	https://www.vertexrailindustries.in	199, Industrial Area, Thiruvananthapuram	8.510425474	76.84836474	267837	ISO certified company with over 15 years of experience in railway component manufacturing.
Omega Railway Supplies	Switch Expansion Joints	Heavy Duty	Bhubaneswar	Odisha	Approved	Kavita Iyer	-9548488616	info@omegarailwaysupplies.in	https://www.omegarailwaysupplies.in	45, Industrial Area, Bhubaneswar	20.30502455	85.72485441	383555	Quality-focused organization committed to delivering premium Switch Expansion Joints solutions.
Alpha Track Manufacturing	Switch Expansion Joints	Standard	Patna	Bihar	Approved	Ashok Malhotra	-5524313101	info@alphatrackmanufacturing.in	https://www.alphatrackmanufacturing.in	28, Industrial Area, Patna	25.51141639	85.06570909	365442	Specialized in producing high-quality Standard for Indian Railways and metro projects.
Beta Rail Components	Switch Expansion Joints	Heavy Duty	Ranchi	Jharkhand	Approved	Ravi Verma	-9251258846	info@betarailcomponents.in	https://www.betarailcomponents.in	296, Industrial Area, Ranchi	23.25248724	85.31358896	383167	Leading manufacturer and supplier of Switch Expansion Joints with state-of-the-art production facilities.
Gamma Railway Industries	Switch Expansion Joints	Heavy Duty	Mumbai	Maharashtra	Approved	Rahul Bose	-7918870178	info@gammarailwayindustries.in	https://www.gammarailwayindustries.in	14, Industrial Area, Mumbai	19.13559306	72.85165074	85967	ISO certified company with over 15 years of experience in railway component manufacturing.
Delta Track Systems	Switch Expansion Joints	Standard	Pune	Maharashtra	Approved	Meera Desai	-4046760942	info@deltatracksystems.in	https://www.deltatracksystems.in	48, Industrial Area, Pune	18.53397469	73.85834071	195707	Advanced manufacturing unit equipped with modern machinery for Standard production.
Epsilon Rail Products	Switch Expansion Joints	Standard	Nagpur	Maharashtra	Developmental	Deepak Agarwal	-3545898998	info@epsilonrailproducts.in	https://www.epsilonrailproducts.in	417, Industrial Area, Nagpur	21.13062766	79.16992285	103315	Advanced manufacturing unit equipped with modern machinery for Standard production.
Rail Components Ltd	Spring Steel Rounds	Gr.55 Si.7	Delhi	Delhi	Developmental	Suresh Patel	-4651832294	info@railcomponentsltd.in	https://www.railcomponentsltd.in	15, Industrial Area, Delhi	28.52159206	77.22538569	56461	Quality-focused organization committed to delivering premium Spring Steel Rounds solutions.
Indian Railway Supplies	Spring Steel Rounds	Gr.55 Si.7	Bengaluru	Karnataka	Approved	Neha Gupta	-9850929550	info@indianrailwaysupplies.in	https://www.indianrailwaysupplies.in	469, Industrial Area, Bengaluru	13.06282315	77.66311905	70706	Leading manufacturer and supplier of Spring Steel Rounds with state-of-the-art production facilities.
Metro Rail Manufacturing	Spring Steel Rounds	Special Grade	Mysuru	Karnataka	Approved	Manoj Joshi	-5863091985	info@metrorailmanufacturing.in	https://www.metrorailmanufacturing.in	184, Industrial Area, Mysuru	12.20466728	76.60860391	11933	Quality-focused organization committed to delivering premium Spring Steel Rounds solutions.
